Carroll & Ethan Allen Ave,38.977933,-77.006472
Battery Ln & Trolley Trail,38.992375,-77.100104
Norfolk & Rugby Ave,38.990639,-77.100239
Offutt Ln & Chevy Chase Dr,38.977093,-77.094589
Broschart & Blackwell Rd,39.102099,-77.200322
Taft St & E Gude Dr,39.094103,-77.132954
Fleet St & Ritchie Pkwy,39.076331,-77.141378
Piccard & W Gude Dr,39.102212,-77.177091
Ripley & Bonifant St,38.992679,-77.029457
Georgia Ave & Spring St,38.999388,-77.031555
Fenton St & Ellsworth Dr ,38.997033,-77.025608
King Farm Blvd & Pleasant Dr,39.114688,-77.171487
King Farm Blvd & Piccard Dr,39.110314,-77.182669
Calvert St & Woodley Pl NW,38.923583,-77.050046
New Jersey Ave & N St NW/Dunbar HS,38.90706,-77.015231
Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862
Deanwood Rec Center,38.908473,-76.933099
Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023
Arlington Blvd & Fillmore St,38.873755,-77.089233
Long Bridge Park/Long Bridge Dr & 6th St S,38.86646,-77.04826
Old Georgetown Rd & Southwick St,38.999634,-77.109647
Friendship Blvd & Willard Ave,38.96115,-77.088659
North Capitol St & G Pl NE,38.899703,-77.008911
31st & Woodrow St S,38.837666,-77.09482
Washington Blvd & Walter Reed Dr ,38.873219,-77.082104
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.869418,-77.095596
Connecticut Ave & Tilden St NW,38.941154,-77.062036
Medical Center Dr & Key West Ave,39.103091,-77.196442
Shady Grove Hospital,39.097636,-77.196636
Veterans Pl & Pershing Dr ,38.997445,-77.023894
Rockville Metro East,39.085394,-77.145803
1st & H St NW,38.900358,-77.012108
Fort Totten Metro,38.952369,-77.002721
Takoma Metro,38.975219,-77.016855
Rhode Island Ave Metro,38.920682,-76.995876
Rolfe St & 9th St S,38.866471,-77.076131
Shirlington Transit Center / S Quincy & Randolph St,38.839912,-77.087083
Shady Grove Metro West,39.119765,-77.166093
